,Unnamed: 0,City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
13815,13815,Gurugram,2019-10-12,79.53,139.69,11.48,13.11,17.01,23.483476019371977,1.54,2.07,57.26,0.0,0.0,3.0701278234985114,172.0,Moderate
13819,13819,Gurugram,2019-10-16,137.78,261.97,12.97,47.39,39.22,23.483476019371977,2.27,1.9,50.6,2.0,5.98,3.0701278234985114,291.0,Poor
13826,13826,Gurugram,2019-10-23,108.48,229.29,29.55,43.84,54.55,23.483476019371977,0.85,4.29,37.95,2.0,6.01,3.0701278234985114,223.0,Poor
13827,13827,Gurugram,2019-10-24,151.69,249.81,69.24,59.89,94.15,23.483476019371977,1.81,35.59,47.8,2.01,6.0,3.0701278234985114,292.0,Poor
13829,13829,Gurugram,2019-10-26,118.89,212.16,14.87,39.52,36.03,23.483476019371977,0.89,11.3,44.97,1.58,4.56,3.0701278234985114,272.0,Poor
13830,13830,Gurugram,2019-10-27,170.87,219.37,10.52,35.42,30.45,23.483476019371977,0.86,10.4,50.71,0.1,0.31,3.0701278234985114,311.0,Very Poor
13833,13833,Gurugram,2019-10-30,216.4,361.77,32.57,43.74,54.29,23.483476019371977,1.35,14.56,32.35,1.99,6.0,3.0701278234985114,369.0,Very Poor
13838,13838,Gurugram,2019-11-04,219.51,319.29,8.14,33.71,28.36,23.483476019371977,0.92,18.77,21.81,1.99,5.99,3.0701278234985114,448.0,Severe
13841,13841,Gurugram,2019-11-07,160.41,279.95,10.19,45.65,37.34,23.483476019371977,0.77,8.58,19.44,1.99,6.0,3.0701278234985114,280.0,Poor
13842,13842,Gurugram,2019-11-08,157.05,255.53,14.41,45.85,42.36,23.483476019371977,1.17,0.21,26.65,2.01,6.0,3.0701278234985114,335.0,Very Poor
13847,13847,Gurugram,2019-11-13,388.11,513.91,33.53,78.03,74.95,23.483476019371977,2.09,3.01,32.69,1.99,5.98,3.0701278234985114,502.0,Severe
13848,13848,Gurugram,2019-11-14,361.14,573.72,43.29,80.51,87.29,23.483476019371977,2.34,11.93,24.67,2.01,5.99,3.0701278234985114,488.0,Severe
13851,13851,Gurugram,2019-11-17,69.43,124.7,5.39,33.71,27.27,23.483476019371977,0.53,31.52,35.4,2.0,6.01,3.0701278234985114,244.0,Poor
13854,13854,Gurugram,2019-11-20,118.97,193.65,90.48,55.23,107.64,23.483476019371977,1.38,40.95,44.37,2.0,5.99,3.0701278234985114,223.0,Poor
13857,13857,Gurugram,2019-11-23,115.05,201.36,6.72,47.16,36.04,23.483476019371977,0.89,20.42,34.2,1.99,6.03,3.0701278234985114,305.0,Very Poor
13858,13858,Gurugram,2019-11-24,105.21,178.86,4.21,35.04,26.04,23.483476019371977,0.71,21.78,47.76,2.0,6.01,3.0701278234985114,234.0,Poor
13859,13859,Gurugram,2019-11-25,102.12,177.95,33.61,54.7,62.12,23.483476019371977,1.23,21.4,35.98,2.0,6.0,3.0701278234985114,236.0,Poor
13864,13864,Gurugram,2019-11-30,60.83,127.45,9.83,35.83,33.41,23.483476019371977,0.88,8.78,26.31,2.0,6.0,3.0701278234985114,103.0,Moderate
13865,13865,Gurugram,2019-12-01,76.17,143.66,36.11,41.25,42.04,23.483476019371977,0.81,8.13,34.45,2.01,5.98,3.0701278234985114,148.0,Moderate
13867,13867,Gurugram,2019-12-03,112.58,198.47,11.95,54.1,43.75,23.483476019371977,0.97,4.56,38.16,2.0,5.97,3.0701278234985114,265.0,Poor
13872,13872,Gurugram,2019-12-08,205.7,315.4,56.66,50.18,78.46,23.483476019371977,2.07,0.92,34.74,1.99,6.02,3.0701278234985114,373.0,Very Poor
13873,13873,Gurugram,2019-12-09,173.25,265.85,74.23,53.81,93.64,23.483476019371977,2.16,27.89,33.01,2.0,6.02,3.0701278234985114,350.0,Very Poor
13874,13874,Gurugram,2019-12-10,192.51,299.38,83.85,60.68,106.34,23.483476019371977,2.6,66.06,35.58,2.0,6.0,3.0701278234985114,347.0,Very Poor
13875,13875,Gurugram,2019-12-11,228.57,342.42,80.09,55.31,106.38,23.483476019371977,2.56,71.45,39.18,1.99,6.01,3.0701278234985114,369.0,Very Poor
13877,13877,Gurugram,2019-12-13,65.04,92.12,6.09,40.18,26.85,23.483476019371977,1.14,25.3,22.46,2.0,6.0,3.0701278234985114,250.0,Poor
13879,13879,Gurugram,2019-12-15,76.17,143.09,8.16,28.44,24.64,23.483476019371977,1.07,27.74,25.94,2.0,6.02,3.0701278234985114,144.0,Moderate
13881,13881,Gurugram,2019-12-17,65.24,115.4,8.91,19.26,19.1,23.483476019371977,1.14,21.42,27.62,2.02,5.99,3.0701278234985114,111.0,Moderate
13883,13883,Gurugram,2019-12-19,168.88,285.04,49.39,35.26,62.44,23.483476019371977,2.11,64.78,28.39,2.01,6.0,3.0701278234985114,282.0,Poor
13886,13886,Gurugram,2019-12-22,99.82,183.92,5.38,29.66,22.55,23.483476019371977,1.48,14.78,23.49,2.0,5.99,3.0701278234985114,281.0,Poor
13894,13894,Gurugram,2019-12-30,201.74,384.26,40.07,35.93,53.7,23.483476019371977,3.17,15.63,24.64,2.0,5.99,3.0701278234985114,423.0,Severe
13898,13898,Gurugram,2020-01-03,183.81,216.52,96.93,42.51,116.86,23.483476019371977,3.23,3.52,17.93,2.0,6.0,3.0701278234985114,390.0,Very Poor
13899,13899,Gurugram,2020-01-04,152.96,218.37,65.9,38.85,79.89,23.483476019371977,2.38,5.69,20.99,2.0,5.99,3.0701278234985114,308.0,Very Poor
13900,13900,Gurugram,2020-01-05,144.74,233.92,31.39,38.35,50.15,23.483476019371977,2.03,5.0,26.11,2.0,5.99,3.0701278234985114,326.0,Very Poor
13902,13902,Gurugram,2020-01-07,89.97,140.0,9.69,36.67,29.54,23.483476019371977,1.52,7.0,19.03,2.01,6.0,3.0701278234985114,234.0,Poor
13904,13904,Gurugram,2020-01-09,66.14,101.18,4.78,20.39,16.63,23.483476019371977,1.48,7.49,20.76,2.0,5.99,3.0701278234985114,160.0,Moderate
13905,13905,Gurugram,2020-01-10,89.87,147.3,6.09,30.44,24.27,23.483476019371977,1.76,6.89,28.33,1.98,6.02,3.0701278234985114,160.0,Moderate
13909,13909,Gurugram,2020-01-14,75.89,119.57,6.56,26.1,22.02,23.483476019371977,1.4,7.33,18.3,2.01,6.0,3.0701278234985114,244.0,Poor
13910,13910,Gurugram,2020-01-15,90.38,162.36,10.86,34.76,31.74,23.483476019371977,1.28,8.04,20.05,2.0,6.01,3.0701278234985114,174.0,Moderate
13916,13916,Gurugram,2020-01-21,131.03,222.54,32.28,31.26,44.61,23.483476019371977,1.65,7.22,30.6,1.99,6.0,3.0701278234985114,276.0,Poor
13917,13917,Gurugram,2020-01-22,130.93,216.6,55.55,33.45,70.21,23.483476019371977,2.17,7.38,26.71,1.99,6.0,3.0701278234985114,313.0,Very Poor
13919,13919,Gurugram,2020-01-24,51.22,92.58,4.56,28.98,20.95,23.483476019371977,0.97,8.29,57.14,2.01,6.02,3.0701278234985114,102.0,Moderate
13921,13921,Gurugram,2020-01-26,132.02,232.16,55.58,35.27,68.45,23.483476019371977,2.29,7.79,28.19,1.98,6.0,3.0701278234985114,289.0,Poor
13924,13924,Gurugram,2020-01-29,47.0,90.49,8.5,29.88,24.98,23.483476019371977,1.23,8.92,23.66,1.99,6.0,3.0701278234985114,140.0,Moderate
13926,13926,Gurugram,2020-01-31,62.07,127.12,13.08,31.13,30.09,23.483476019371977,1.42,8.79,27.43,2.01,5.98,3.0701278234985114,112.0,Moderate
13932,13932,Gurugram,2020-02-06,79.42,169.37,14.89,26.08,27.51,23.483476019371977,1.76,7.58,44.36,2.0,5.99,3.0701278234985114,198.0,Moderate
13936,13936,Gurugram,2020-02-10,130.89,256.86,35.54,27.42,45.28,23.483476019371977,2.2,9.13,45.46,2.0,6.01,3.0701278234985114,275.0,Poor
13941,13941,Gurugram,2020-02-15,50.24,112.08,7.25,14.87,14.52,23.483476019371977,1.42,11.74,41.7,2.0,5.99,3.0701278234985114,130.0,Moderate
13943,13943,Gurugram,2020-02-17,105.65,228.3,36.3,26.62,45.01,23.483476019371977,2.34,11.63,25.93,1.99,6.0,3.0701278234985114,256.0,Poor
13944,13944,Gurugram,2020-02-18,69.82,166.21,35.08,25.16,43.18,23.483476019371977,1.89,11.29,23.02,1.99,6.01,3.0701278234985114,165.0,Moderate
13946,13946,Gurugram,2020-02-20,85.97,173.5,6.7,16.77,14.81,23.483476019371977,1.67,10.66,62.28,2.02,6.02,3.0701278234985114,170.0,Moderate
13952,13952,Gurugram,2020-02-26,108.36,231.82,45.69,28.0,53.33,23.483476019371977,1.53,10.37,33.78,1.97,5.97,3.0701278234985114,241.0,Poor
13953,13953,Gurugram,2020-02-27,86.84,158.92,8.94,31.91,26.6,23.483476019371977,1.17,8.51,33.45,2.0,6.01,3.0701278234985114,206.0,Poor
13958,13958,Gurugram,2020-03-03,80.0,177.56,50.59,40.4,71.38,23.483476019371977,1.97,7.88,39.54,1.99,6.01,3.0701278234985114,175.0,Moderate
13966,13966,Gurugram,2020-03-11,52.61,100.26,4.09,25.06,20.72,32.17,0.89,14.62,58.4,3.26,3.43,12.11,114.0,Moderate
13967,13967,Gurugram,2020-03-12,50.17,139.66,8.29,30.02,24.22,38.11,0.88,13.28,40.31,3.22,3.17,9.96,115.0,Moderate
13968,13968,Gurugram,2020-03-13,60.57,182.58,13.32,30.6,30.07,32.89,0.84,12.68,40.26,2.45,3.18,7.03,134.0,Moderate
13970,13970,Gurugram,2020-03-15,57.48,137.62,9.08,27.24,24.04,28.03,0.97,15.87,50.33,3.73,6.15,13.09,119.0,Moderate
13972,13972,Gurugram,2020-03-17,76.84,169.8,8.85,25.66,22.97,62.83,1.18,19.73,52.03,5.44,7.61,26.17,181.0,Moderate
13976,13976,Gurugram,2020-03-21,58.09,129.3,13.97,16.63,21.9,74.89,0.88,16.66,57.23,4.52,7.96,17.23,154.0,Moderate
13982,13982,Gurugram,2020-03-27,20.82,41.61,5.31,14.19,9.72,48.2,0.54,15.31,38.52,3.51,7.01,15.13,59.0,Satisfactory
13983,13983,Gurugram,2020-03-28,17.59,35.7,5.82,14.65,10.57,48.37,0.49,14.77,42.37,3.27,6.73,14.13,62.0,Satisfactory
13984,13984,Gurugram,2020-03-29,23.65,56.89,5.3,13.75,10.04,45.05,0.5,18.73,54.46,3.44,7.07,16.16,68.0,Satisfactory
13988,13988,Gurugram,2020-04-02,28.93,59.79,12.23,16.0,10.82,40.42,0.52,15.97,61.46,1.68,2.74,2.54,81.0,Satisfactory
13989,13989,Gurugram,2020-04-03,27.11,48.38,5.33,12.75,9.72,37.53,0.47,15.3,66.52,1.62,2.69,2.45,95.0,Satisfactory
13991,13991,Gurugram,2020-04-05,49.7,87.4,7.51,15.9,12.04,36.33,0.69,15.2,53.97,2.06,2.74,2.7,99.0,Satisfactory
13994,13994,Gurugram,2020-04-08,28.04,79.84,5.04,10.94,8.45,34.39,0.42,14.11,62.85,1.63,2.67,2.25,96.0,Satisfactory
13995,13995,Gurugram,2020-04-09,31.68,68.97,4.98,12.14,9.19,33.63,0.47,14.14,67.87,1.74,2.66,2.32,101.0,Moderate
13997,13997,Gurugram,2020-04-11,51.41,103.83,10.44,18.3,15.15,34.72,0.81,14.52,60.63,2.21,2.78,2.75,127.0,Moderate
13998,13998,Gurugram,2020-04-12,32.16,68.78,5.49,16.41,10.09,35.82,0.6,14.0,67.11,1.75,2.73,2.49,107.0,Moderate
14001,14001,Gurugram,2020-04-15,59.01,185.92,7.03,18.25,12.74,39.87,0.79,13.21,45.18,7.67,3.84,3.54,138.0,Moderate
14002,14002,Gurugram,2020-04-16,62.75,154.53,7.98,17.1,12.94,38.95,0.83,13.53,55.51,8.12,3.86,3.56,157.0,Moderate
14003,14003,Gurugram,2020-04-17,28.23,79.28,5.4,12.66,9.64,37.36,0.62,12.42,73.94,7.0,3.69,3.2,120.0,Moderate
14004,14004,Gurugram,2020-04-18,26.84,87.29,4.98,12.87,8.86,36.77,0.57,12.12,71.23,7.06,3.46,2.97,107.0,Moderate
14007,14007,Gurugram,2020-04-21,33.79,72.37,4.95,14.88,9.68,36.66,0.68,10.67,66.92,7.41,3.52,2.97,105.0,Moderate
14010,14010,Gurugram,2020-04-24,56.54,100.68,5.01,15.69,13.06,36.58,0.77,9.28,63.8,6.47,3.49,3.3,124.0,Moderate
14014,14014,Gurugram,2020-04-28,34.2,58.26,4.48,11.32,10.31,37.56,0.63,7.02,74.53,5.33,3.07,2.4,118.0,Moderate
14015,14015,Gurugram,2020-04-29,58.64,111.67,4.39,13.84,11.56,28.22,0.75,7.75,66.09,5.95,3.29,2.68,126.0,Moderate
14017,14017,Gurugram,2020-05-01,62.55,134.75,4.28,12.69,10.68,22.14,0.74,7.45,79.99,5.47,3.38,2.64,155.0,Moderate
14018,14018,Gurugram,2020-05-02,41.11,104.29,4.12,10.69,8.97,16.18,0.7,5.59,91.17,4.39,3.0,2.11,152.0,Moderate
14021,14021,Gurugram,2020-05-05,55.54,94.42,4.16,13.71,10.97,16.73,0.81,7.78,67.79,5.46,3.24,2.49,130.0,Moderate
14023,14023,Gurugram,2020-05-07,40.41,89.12,4.18,13.66,11.2,31.94,0.61,6.38,83.29,4.35,3.53,3.09,138.0,Moderate
14029,14029,Gurugram,2020-05-13,63.71,140.61,4.76,16.23,11.7,10.45,0.81,13.26,73.47,2.68,5.68,3.8,133.0,Moderate
14030,14030,Gurugram,2020-05-14,51.25,128.05,12.17,27.73,24.42,8.99,0.94,9.38,67.65,3.21,5.06,4.06,147.0,Moderate
14031,14031,Gurugram,2020-05-15,44.84,89.14,52.57,36.56,65.35,12.08,0.76,9.6,77.07,6.2,3.04,2.24,155.0,Moderate
14032,14032,Gurugram,2020-05-16,69.14,111.56,43.42,44.32,59.52,14.61,0.85,11.87,89.44,6.09,3.27,2.27,208.0,Poor
14033,14033,Gurugram,2020-05-17,70.96,149.96,8.38,37.52,24.05,22.68,1.01,12.0,63.65,6.71,3.17,2.39,184.0,Moderate
14034,14034,Gurugram,2020-05-18,59.29,115.94,9.85,34.85,23.82,22.59,0.91,8.51,61.06,6.35,3.18,2.38,160.0,Moderate
14040,14040,Gurugram,2020-05-24,56.3,154.36,3.81,21.9,10.69,17.11,0.91,7.56,55.27,5.75,3.0,2.17,150.0,Moderate
14042,14042,Gurugram,2020-05-26,56.62,184.71,14.91,22.71,21.68,23.19,0.91,6.96,34.74,6.51,2.9,2.32,140.0,Moderate
14044,14044,Gurugram,2020-05-28,75.32,257.56,3.45,16.27,10.08,24.53,0.88,3.91,73.51,4.51,2.38,1.45,202.0,Poor
14045,14045,Gurugram,2020-05-29,32.39,69.05,4.17,15.43,8.89,17.69,0.67,16.6,70.04,5.37,2.18,1.38,166.0,Moderate
14048,14048,Gurugram,2020-06-01,36.12,87.51,6.9,20.5,13.33,12.39,0.85,5.42,72.06,5.83,2.93,2.01,133.0,Moderate
14056,14056,Gurugram,2020-06-09,65.0,141.77,6.12,18.55,14.29,6.4,0.92,7.99,74.49,5.78,3.17,2.06,141.0,Moderate
14062,14062,Gurugram,2020-06-15,54.15,117.53,5.12,12.44,10.42,5.05,0.58,5.43,94.84,4.41,2.93,1.85,155.0,Moderate
14063,14063,Gurugram,2020-06-16,49.75,108.22,5.75,13.67,11.58,4.74,0.55,6.29,81.32,4.56,2.53,1.76,128.0,Moderate
14064,14064,Gurugram,2020-06-17,45.21,92.67,4.51,11.29,9.57,3.9,0.53,6.87,79.58,4.67,2.87,1.51,128.0,Moderate
14068,14068,Gurugram,2020-06-21,49.1,103.78,6.28,8.75,10.83,4.05,0.49,5.41,66.63,5.28,2.86,1.69,132.0,Moderate
14070,14070,Gurugram,2020-06-23,39.63,74.69,5.9,8.95,10.49,4.23,0.69,4.28,54.24,26.52,3.03,5.17,108.0,Moderate
14071,14071,Gurugram,2020-06-24,43.35,75.89,5.31,7.9,9.61,4.17,0.63,4.03,49.35,22.62,4.0,11.44,86.0,Satisfactory
14073,14073,Gurugram,2020-06-26,56.56,141.92,2.65,10.07,8.52,3.88,0.9,6.42,32.75,3.41,4.8,5.98,122.0,Moderate
14074,14074,Gurugram,2020-06-27,47.82,158.08,3.12,8.05,7.24,3.33,0.66,9.18,19.54,2.16,4.78,5.27,121.0,Moderate
14076,14076,Gurugram,2020-06-29,46.89,154.0,4.0,8.97,9.65,3.05,0.57,7.86,36.5,2.34,3.84,4.72,140.0,Moderate
14077,14077,Gurugram,2020-06-30,47.27,114.29,6.29,10.38,12.08,3.2,0.78,7.36,58.07,2.4,4.3,4.89,131.0,Moderate
14078,14078,Gurugram,2020-07-01,61.64,174.08,5.99,10.58,12.37,2.91,1.11,7.57,44.14,2.67,4.46,4.73,157.0,Moderate
14081,14081,Guwahati,2019-02-18,58.31,85.39,3.67,10.82,17.63,23.6,0.47,14.47,33.85,0.88,8.700972080037232,3.0701278234985114,122.0,Moderate
14082,14082,Guwahati,2019-02-19,59.88,78.04,3.16,9.65,15.51,19.03,0.51,16.42,41.23,1.0,8.700972080037232,3.0701278234985114,80.0,Satisfactory
14084,14084,Guwahati,2019-02-21,83.66,134.1,15.72,13.63,40.44,17.55,1.09,25.9,43.69,2.29,8.700972080037232,3.0701278234985114,105.0,Moderate
14089,14089,Guwahati,2019-02-26,94.29,173.04,47.75,17.65,97.08,28.03,1.11,16.71,16.98,2.93,8.700972080037232,3.0701278234985114,285.0,Poor
14090,14090,Guwahati,2019-02-27,60.89,98.85,11.36,13.79,33.42,27.84,0.64,17.6,30.81,1.38,8.700972080037232,3.0701278234985114,152.0,Moderate
14094,14094,Guwahati,2019-03-03,106.89,199.74,50.2,18.6,102.36,18.98,1.26,21.78,29.67,3.54,8.700972080037232,3.0701278234985114,226.0,Poor
14095,14095,Guwahati,2019-03-04,97.6,185.68,42.72,15.4,86.63,21.65,0.92,16.91,30.05,7.08,8.700972080037232,3.0701278234985114,277.0,Poor
14097,14097,Guwahati,2019-03-06,63.29,90.92,4.3,10.2,17.98,21.26,0.54,19.66,43.86,1.22,8.700972080037232,3.0701278234985114,148.0,Moderate
14098,14098,Guwahati,2019-03-07,74.81,112.75,17.25,15.01,44.42,23.67,0.85,16.5,25.03,3.0,8.700972080037232,3.0701278234985114,102.0,Moderate
14099,14099,Guwahati,2019-03-08,104.14,177.76,44.55,21.06,95.72,24.09,1.19,19.3,24.21,4.46,8.700972080037232,3.0701278234985114,236.0,Poor
14101,14101,Guwahati,2019-03-10,124.9,237.1,32.68,19.23,74.24,21.46,1.09,24.61,46.36,2.61,8.700972080037232,3.0701278234985114,303.0,Very Poor
14103,14103,Guwahati,2019-03-12,123.34,206.87,43.05,16.95,88.79,25.52,0.99,23.95,48.98,3.65,8.700972080037232,3.0701278234985114,316.0,Very Poor
14106,14106,Guwahati,2019-03-15,138.03,280.4,37.55,24.74,88.13,27.43,1.23,20.42,31.23,2.87,8.700972080037232,3.0701278234985114,321.0,Very Poor
14108,14108,Guwahati,2019-03-17,105.33,191.58,13.36,24.87,48.6,24.28,1.12,21.56,34.22,3.42,8.700972080037232,3.0701278234985114,231.0,Poor
14120,14120,Guwahati,2019-03-29,114.47,203.18,44.78,29.01,104.59,25.66,1.26,23.39,34.37,3.22,8.700972080037232,3.0701278234985114,258.0,Poor
14121,14121,Guwahati,2019-03-30,140.62,225.28,23.24,23.92,63.81,25.77,1.26,34.54,26.71,3.34,8.700972080037232,3.0701278234985114,300.0,Poor
14122,14122,Guwahati,2019-03-31,48.63,64.89,3.37,11.86,18.25,23.15,0.5,19.19,45.26,0.91,8.700972080037232,3.0701278234985114,236.0,Poor
14125,14125,Guwahati,2019-04-03,23.13,153.45,2.57,13.17,18.32,14.1,0.43,26.11,63.06,0.63,8.700972080037232,3.0701278234985114,99.0,Satisfactory
14126,14126,Guwahati,2019-04-04,29.99,62.01,2.54,11.69,16.7,13.07,0.37,32.4,55.27,0.65,8.700972080037232,3.0701278234985114,120.0,Moderate
14128,14128,Guwahati,2019-04-06,56.1,82.28,9.85,15.92,33.23,13.76,0.74,19.42,32.52,1.54,8.700972080037232,3.0701278234985114,74.0,Satisfactory
14130,14130,Guwahati,2019-04-08,28.95,40.1,4.23,11.5,19.28,13.98,0.48,17.93,38.96,4.3,8.700972080037232,3.0701278234985114,59.0,Satisfactory
14131,14131,Guwahati,2019-04-09,30.06,40.09,5.18,14.44,23.96,12.78,0.56,16.14,30.94,0.93,8.700972080037232,3.0701278234985114,53.0,Satisfactory
14135,14135,Guwahati,2019-04-13,85.8,141.6,12.13,25.11,46.8,16.31,0.88,19.03,41.0,1.47,8.700972080037232,3.0701278234985114,179.0,Moderate
14138,14138,Guwahati,2019-04-16,42.85,56.26,3.8,16.64,24.06,9.93,0.55,16.33,44.77,1.02,8.700972080037232,3.0701278234985114,90.0,Satisfactory
14142,14142,Guwahati,2019-04-20,52.39,99.12,3.93,12.81,20.17,12.75,0.52,17.64,52.49,0.84,8.700972080037232,3.0701278234985114,107.0,Moderate
14145,14145,Guwahati,2019-04-23,56.03,88.14,25.1,22.46,65.24,10.86,0.8,17.64,46.95,2.4,8.700972080037232,3.0701278234985114,95.0,Satisfactory
14151,14151,Guwahati,2019-04-29,24.68,36.05,2.5,11.02,15.9,7.5,0.42,18.79,40.92,0.26,8.700972080037232,3.0701278234985114,53.0,Satisfactory
14152,14152,Guwahati,2019-04-30,13.68,21.96,2.0,8.73,12.61,7.8,0.36,23.19,45.86,0.53,8.700972080037232,3.0701278234985114,53.0,Satisfactory
14159,14159,Guwahati,2019-05-07,40.8,77.72,9.73,15.16,32.22,15.17,0.56,25.18,55.57,0.49,8.700972080037232,3.0701278234985114,110.0,Moderate
14166,14166,Guwahati,2019-05-14,28.15,43.75,3.0,11.58,17.32,14.18,0.44,19.46,62.12,1.42,8.700972080037232,3.0701278234985114,122.0,Moderate
14167,14167,Guwahati,2019-05-15,19.79,31.95,1.78,12.33,16.15,10.74,0.45,18.08,66.56,0.35,8.700972080037232,3.0701278234985114,86.0,Satisfactory
14169,14169,Guwahati,2019-05-17,22.83,34.43,3.17,14.25,20.49,8.09,0.51,17.12,52.04,0.22,8.700972080037232,3.0701278234985114,73.0,Satisfactory
14179,14179,Guwahati,2019-05-27,27.48,47.82,13.17,17.05,39.87,7.03,0.66,15.93,47.42,0.35,8.700972080037232,3.0701278234985114,149.0,Moderate
14180,14180,Guwahati,2019-05-28,21.41,37.36,3.32,12.81,19.17,5.97,0.5,16.01,43.42,0.2,8.700972080037232,3.0701278234985114,61.0,Satisfactory
14182,14182,Guwahati,2019-05-30,41.37,83.59,17.55,21.24,51.58,7.31,0.75,16.45,51.37,9.94,8.700972080037232,3.0701278234985114,102.0,Moderate
14184,14184,Guwahati,2019-06-01,41.11,75.12,16.05,21.67,49.55,6.11,0.81,16.49,37.43,0.59,8.700972080037232,3.0701278234985114,75.0,Satisfactory
14191,14191,Guwahati,2019-06-08,12.76,21.4,2.89,6.72,11.94,9.85,0.4,16.83,28.39,0.19,8.700972080037232,3.0701278234985114,48.0,Good
14193,14193,Guwahati,2019-06-10,20.31,38.23,9.79,10.66,27.48,9.98,0.5,14.04,17.28,0.36,8.700972080037232,3.0701278234985114,40.0,Good
14194,14194,Guwahati,2019-06-11,25.53,41.4,4.31,13.11,21.11,10.74,0.53,10.42,3.18,0.34,8.700972080037232,3.0701278234985114,41.0,Good
14195,14195,Guwahati,2019-06-12,36.68,72.67,9.54,18.64,35.62,11.22,0.68,10.68,3.23,0.3,8.700972080037232,3.0701278234985114,60.0,Satisfactory
14199,14199,Guwahati,2019-06-16,25.93,43.13,3.0,11.79,17.53,8.27,0.52,10.56,3.79,0.32,8.700972080037232,3.0701278234985114,44.0,Good
14201,14201,Guwahati,2019-06-18,33.51,55.87,4.68,15.51,24.31,6.04,0.61,10.6,3.15,0.39,8.700972080037232,3.0701278234985114,54.0,Satisfactory
14205,14205,Guwahati,2019-06-22,27.98,50.76,6.1,11.32,22.16,8.4,0.61,10.56,2.04,0.25,8.700972080037232,3.0701278234985114,54.0,Satisfactory
14208,14208,Guwahati,2019-06-25,30.18,57.35,8.69,14.71,30.0,15.17,0.48,11.6,3.19,0.61,8.700972080037232,3.0701278234985114,58.0,Satisfactory
14209,14209,Guwahati,2019-06-26,18.59,29.17,2.16,10.41,14.69,9.14,0.44,10.59,2.94,0.26,8.700972080037232,3.0701278234985114,41.0,Good
14210,14210,Guwahati,2019-06-27,18.79,25.88,2.24,8.46,12.74,8.35,0.46,10.63,2.2,0.5,8.700972080037232,3.0701278234985114,31.0,Good
14215,14215,Guwahati,2019-07-02,13.73,27.33,3.66,9.45,16.12,6.07,0.38,10.65,1.97,3.86,8.700972080037232,3.0701278234985114,39.0,Good
14217,14217,Guwahati,2019-07-04,15.47,32.63,2.88,9.96,15.36,4.53,0.42,10.7,4.22,0.5,8.700972080037232,3.0701278234985114,33.0,Good
14218,14218,Guwahati,2019-07-05,21.1,43.36,5.24,12.65,22.14,5.7,0.51,10.59,13.59,0.05,8.700972080037232,3.0701278234985114,46.0,Good
14219,14219,Guwahati,2019-07-06,7.74,75.98,4.13,10.04,17.54,4.99,0.3,10.37,21.24,0.04,8.700972080037232,3.0701278234985114,46.0,Good
14220,14220,Guwahati,2019-07-07,5.39,10.53,1.99,6.5,10.24,3.85,0.25,10.25,21.89,3.2808403045005514,8.700972080037232,3.0701278234985114,53.0,Satisfactory
14222,14222,Guwahati,2019-07-09,169.55,491.54,14.34,9.5,32.51,20.94,0.39,9.32,22.13,61.62,8.700972080037232,3.0701278234985114,166.4635814889336,Moderate
14227,14227,Guwahati,2019-07-14,21.91,37.61,9.69,10.66,27.32,8.22,0.45,10.65,8.3,0.16,8.700972080037232,3.0701278234985114,57.0,Satisfactory
14231,14231,Guwahati,2019-07-18,41.72,73.42,6.72,9.98,21.71,6.2,0.54,10.84,11.78,0.05,8.700972080037232,3.0701278234985114,91.0,Satisfactory
14232,14232,Guwahati,2019-07-19,43.43,70.87,7.05,11.38,23.78,6.88,0.59,11.14,5.55,0.08,8.700972080037232,3.0701278234985114,88.0,Satisfactory
14237,14237,Guwahati,2019-07-24,19.41,76.32,4.3,9.77,17.57,7.5,0.37,10.91,16.99,0.12,8.700972080037232,3.0701278234985114,98.0,Satisfactory
14240,14240,Guwahati,2019-07-27,11.93,26.31,4.07,7.69,14.92,4.17,0.34,11.29,18.86,0.06,8.700972080037232,3.0701278234985114,68.0,Satisfactory
14241,14241,Guwahati,2019-07-28,24.95,49.12,12.19,9.47,30.16,3.67,0.58,11.28,16.85,0.15,8.700972080037232,3.0701278234985114,54.0,Satisfactory
14244,14244,Guwahati,2019-07-31,54.9,150.89,3.38,8.22,13.1,8.98,0.37,11.03,18.1,0.09,8.700972080037232,3.0701278234985114,150.0,Moderate
14245,14245,Guwahati,2019-08-01,40.56,52.31,4.7,9.14,17.51,7.43,0.31,11.18,17.88,0.21,8.700972080037232,3.0701278234985114,104.0,Moderate
14247,14247,Guwahati,2019-08-03,59.08,117.59,5.63,9.33,19.22,4.88,0.44,11.17,16.38,0.06,8.700972080037232,3.0701278234985114,164.0,Moderate
14252,14252,Guwahati,2019-08-08,12.02,66.2,4.91,9.24,17.96,8.16,0.35,11.41,15.61,17.42,8.700972080037232,3.0701278234985114,47.0,Good
14259,14259,Guwahati,2019-08-15,19.03,35.6,4.78,6.07,14.3,9.78,0.37,11.9,15.83,4.24,8.700972080037232,3.0701278234985114,36.0,Good
14261,14261,Guwahati,2019-08-17,30.14,54.16,6.89,10.57,22.65,6.69,0.56,11.81,16.35,0.22,8.700972080037232,3.0701278234985114,69.0,Satisfactory
